GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Polychro HTML,io.polychro.html,HtmlValidator,0,105,0,4,0,22,0,5,0,3
Polychro HTML,io.polychro.html,EmbeddedUiHtmlProfile,0,13,0,0,0,6,0,6,0,6
Polychro HTML,io.polychro.html,GenericHtmlProfile,0,13,0,0,0,6,0,6,0,6
Polychro HTML,io.polychro.html,HtmlProfile,0,36,0,7,0,8,0,6,0,1
Polychro HTML,io.polychro.html,FragmentHtmlProfile,0,13,0,0,0,6,0,6,0,6
Polychro HTML,io.polychro.html,HtmlParserFacade,0,42,0,4,0,11,0,4,0,2
Polychro HTML,io.polychro.html,HtmlValidatorFactory,0,34,0,0,0,8,0,6,0,6
Polychro HTML,io.polychro.html,HtmlStructureChecker,0,298,0,38,0,65,0,26,0,7
Polychro HTML,io.polychro.html,HtmlProjector,2,899,2,86,0,193,2,59,0,17
Polychro HTML,io.polychro.html,HtmlAccessibilityChecker,0,213,0,28,0,48,0,20,0,6
Polychro HTML,io.polychro.html,HtmlSourceMapBuilder,0,51,0,6,0,11,0,7,0,4
Polychro HTML,io.polychro.html,HtmlSecurityChecker,0,286,0,30,0,61,0,23,0,8
Polychro HTML,io.polychro.html,DocumentHtmlProfile,0,13,0,0,0,6,0,6,0,6
Polychro HTML,io.polychro.html,HtmlParseResult,0,12,0,0,0,1,0,1,0,1
Polychro HTML,io.polychro.html,EmailHtmlProfile,0,13,0,0,0,6,0,6,0,6
Polychro HTML,io.polychro.html,HtmlAssetLinkChecker,0,208,0,40,0,43,0,27,0,7
